property,Ar,N2,O2,He,CO2,Air
mm_g,39.948,28.0134,31.9988,4.0026,44.01,28.97
sigma_g,3.542,3.46,3.433,2.651,3.941,3.690
eps_fact,93.3,71.4,107.4,10.22,195.2,78.6
r,8.314,8.314,8.314,8.314,8.314,8.314
speed_g,32,38,50.3,92.7,259.8,343
viscosity_a,6.10E-08,1.46E-07,2.08E-07,1.98E-05,2.87E-05,1.8E-05
viscosity_b,3.33E-06,0,0,0,0,0
cp_a,20.786,28.98641,31.32234,20.78,36.94,28.11
cp_b,2.83E-07,0, -20.23531,0.001083,0.008814,0.1967
cp_c,-1.46E-07,0, 57.86644,-6.678E-07,-1.312E-05,-0.03312
cp_d,1.09E-08,0, -36.50624,2.386E-09,9.742E-08,0.000038
cp_e,-3.66E-09,0, 13.6058,-2.989E-11,9.624E-11,0.000013
k_a,-2.91E-05,0.02583,0.02631,0.1428,0.04513,0.0257
k_b,0.068089,0,0,0.03337,0.2128,0.000106
k_c,-0.15,0,0,0.08072,-0.1212,-0.000183